userId,,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
1,0.0,3.157709794003434,3.44826142946848,0.0,3.3562266644414467,3.6806291346634556,0.0,3.3500344840487095,2.6721787709497207,0.0,0.0,3.326441784548422,0.0,0.0,0.0,3.2369531849577897,0.0,0.0,0.0,0.0,0.0
2,0.0,3.6590132839581555,3.999855063863578,0.0,2.913157894736842,3.2690225563909774,0.0,3.436315439864451,0.0,3.2415588339077552,0.0,3.6205942448493103,0.0,0.0,0.0,3.888769242293719,3.238314143323595,0.0,0.0,0.0,0.0
3,3.225922131147541,4.000723412098506,0.0,0.0,2.6570146803557226,0.0,0.0,3.3179385522519502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.965010863864539,0.0,0.0
4,3.6491085899513775,3.1032627151954975,3.5430803588208697,0.0,3.146865515951556,3.44593722880304,3.5065383951535205,3.286919187593334,3.1614385297845375,0.0,0.0,0.0,3.0053450362878236,3.3378158109209455,0.0,4.010845588235294,0.0,0.0,0.0,0.0,0.0
5,2.824332683969764,3.0915697674418605,0.0,0.0,3.3723801002662666,2.8983870967741936,3.635135135135135,3.3917653347763137,0.0,3.4882005899705013,0.0,0.0,0.0,2.7673784643343935,0.0,3.2701955495616994,0.0,0.0,0.0,0.0,0.0
6,0.0,3.884030583809391,2.90994623655914,0.0,0.0,0.0,0.0,3.64215672026927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,3.334616464718399,2.561926730727233,0.0,3.079224023663196,3.0872515689510065,3.193753272246601,3.3697589009092996,0.0,3.1287619140947958,0.0,0.0,1.9814189189189189,0.0,2.994110862962808,2.8904881101376723,2.7314940391144056,0.0,3.0853722744311267,0.0,0.0
8,0.0,3.2349981554278533,3.2315881782180753,3.640557939914163,3.293391490952034,3.318202786111882,3.3906666666666667,3.1996004978989006,0.0,3.0294696852321152,0.0,3.667085718141731,3.7677101916208198,0.0,0.0,3.0328572600320185,3.394813614262561,0.0,3.3243639167209684,0.0,0.0
9,3.3948342837460292,3.1429067727896802,3.6462528998419796,2.6657608695652173,3.3055510797719707,3.327849635393076,2.582867609376679,3.389732744449507,3.2922535211267605,3.5451097817557957,0.0,0.0,3.3074530486057547,0.0,0.0,3.2553926132131887,3.6942148760330578,0.0,2.885223059958117,0.0,0.0
10,0.0,2.8906532985528632,0.0,0.0,3.0716965910864373,3.3241758241758244,0.0,2.999645414605459,0.0,0.0,0.0,0.0,2.893939393939394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
